"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"Lagostrophus_fasciatus",0.0282372785322451,0.0641356879824688,0.0157780746257669,-0.0201037138795919,-0.0289551982215296,-0.00579388688459596,-0.00849341635191273,0.00189841158522299,0.0432942617907602,0.0113229401346216,-0.0173096343959445,-0.0217141113496428,0.0120984061908069,-0.00331913258264799,0.00573964099679226,0.000555756509206649,-0.00592963147250675,0.00153299434434149,-0.00269581709286174,0.000773686578141116,-0.000174872128111581,0.000883541107786899,0.00495623431973505,0.00370045936124853,-0.00113749766276391,-0.00187602441654252,0.000342040312343475,0.00111454615594213,0.000665253727287185,-0.000146437871579684,-0.000488294932385207,-0.000387085894670981,-0.000510521247719114,0.000908713216609841,-0.00119639016835552,-0.000289813389196664,-0.000125713750518394,0.000356096033442615
"Macropus_agilis",-0.0415825207117161,-0.0128422591820056,0.00924182232436888,0.0315390694515888,-0.00108507358825452,-0.000254729163218832,-0.000874766510098567,0.0116783657545198,-0.00202631825110639,0.00680362506913261,0.00469243605767471,-0.00580499939175518,0.00307990673626069,-0.00458350777260975,0.00461679900084675,0.00666646853683881,0.00362054056848377,-0.00988426526802737,0.000384653485977443,-0.000141879282620528,-0.00646132933288003,-0.00158412780289071,0.00824152270092501,-0.0105387795686718,0.00125191741651374,-0.00205345316172462,0.000261380598429826,0.00183473582776184,0.00246863172887335,-0.000317639120540455,-0.000883589698051847,0.00192898069141126,-0.0012071115103053,-0.00107122327088655,0.000123231208371877,8.35812954535939e-05,0.000933486896907285,0.000211875405161019
"Macropus_dorsalis",-0.0572760596913589,-0.0146080158229972,0.0353015575685765,-0.0213008277762404,0.0176972707376353,0.00967367450531744,0.0194685247259401,0.019634856583048,0.000892988872765749,-0.00981113291506355,0.00924379470126417,0.00999763354891987,-0.00127178517493822,-0.000371513886172113,0.00767653540520965,0.00515492320857253,-0.00285194105643733,-0.00212553595041504,-0.0025681832049964,-0.00857172273299736,-0.00328904278429523,0.000102167173815383,0.00229454306687079,0.00515726989674788,0.0019951241716592,-0.000258002373569548,-0.000745411353761647,0.00276380121889967,0.00196860135520559,-0.00154287292496815,0.00342245101043315,-0.00253152738849362,0.000908181555054482,0.000373859746108046,-0.000713828573483451,-0.000442472360393492,0.000696256320170948,-0.00041088879536658
"Macropus_eugenii",-0.0415340524144765,-0.00700433288318662,0.00906966085321589,0.00296978928874011,-0.0177720040244749,-0.0335544346046031,-0.0115265533600829,-0.014761847354788,0.000118394902666198,0.00469543710019014,0.0109958610671866,-0.00268239442933475,0.000859249036711908,0.00451907021479748,-0.00289011931169379,0.00692491757295711,-0.00760947321455184,0.00532065572227045,0.00425836949189156,0.00114023683250399,0.00253398229915397,0.00649098684456898,3.21651933920723e-05,0.00492289244812273,0.00179839383507237,-0.0020937722152256,-0.00482659164220858,-0.00216138009802472,0.00227857276382641,0.000120143443703319,-0.00210123542546136,-0.000878996370514857,-0.000811479416352349,-0.00186817313131443,0.000131765333316764,0.000242042407174957,0.000431771100044655,-0.000685820966926882
"Macropus_giganteus",-0.101350016117231,-0.0404975138612975,0.0642117425283108,0.0134901545672728,-0.0118591242980834,0.0286145951497741,0.000690600056493184,-0.00223793718277512,-0.00829940494016349,-0.00217970397132145,-0.0039595669632082,-0.0021851681546071,0.0115985334203784,-0.000311016832513629,0.00404372915739159,-0.00974168626656955,0.0075140912857791,0.0104460174382185,0.000905748518668416,-0.000614783250467728,-0.00128713156931532,2.41690443843469e-05,0.00396510757620266,-0.00281882788593343,0.000449985997584543,-0.00239298083176288,0.000904341698480844,-0.00196785962033364,-0.00119168343198663,0.00199172254398857,-0.00148128553677564,-0.00145348741692911,-0.000581295290704114,0.00147697596509629,0.000103732506375984,0.000610403654161874,-0.000479785895789974,-0.000583091963984742
"Macropus_irma",-0.00593751642714981,0.000728835548606406,0.0180052202720704,-0.0132604328546867,-0.0340354324130769,0.00709924333493666,0.0239562299523803,0.0160943683605581,-0.0149153285146534,0.00937739054566277,-0.00664051524711886,0.0067698913299246,-0.00690562471940504,-0.0027553232282356,0.00388214367894171,0.00728771865583084,-0.0130360432855265,-0.00203437085525306,0.0105216567255729,-0.00383909048845026,-0.00122418394137521,0.00521912045496543,-0.00781119209462059,-0.00315903483880208,-0.00186310792344675,0.000269664046813636,0.00017690453180094,0.00342003157785389,0.000100121581885588,0.000255101268666171,-0.00149447809228019,-0.000227166918554497,-0.00124476967952893,0.000674981409017885,0.000142455782959376,0.00062220274975199,-0.00080202635119069,0.000315750218111537
"Macropus_parma",-0.0357745570000697,-0.00223890311052243,0.00326462068022038,0.0518622500648165,-0.0137694229895871,-0.0209426547093564,-0.00453963705154265,-0.00909116753752184,-0.00877322327814349,0.00258979847552251,0.00542362964776765,-0.0145664212253722,-0.000467467396635529,-0.0098288479620563,-0.014269469160992,-0.00448336226029579,-0.00110990171556899,-0.0095832215880889,0.00104036263057829,-0.00199890405793225,-0.0054361962148965,-0.000676187200916091,0.00177944727577261,0.00281184742996543,-0.00262423830395992,0.00576941319544844,0.000167679602098779,0.000373264582317341,0.000189281225389431,-0.00341734346092403,-0.000242836217180479,-0.00143744121836591,0.000480263452267096,0.000848495142595796,0.000611780646483179,-0.000574176646485689,-0.000843844026292873,-0.000219938306444172
"Macropus_parryi",-0.0349299450580727,-0.0166540665816741,0.0157816566706618,-0.0262693565728088,-0.0158883934761885,-0.001019893871307,-0.0236200362403465,0.0159031589158342,0.00172198498716753,-0.0115500336463225,0.0102191177895494,0.00347664611686101,-0.0103381231894138,-0.013258444631651,0.00525733889023279,-0.00354564462987285,-0.00105185352316454,0.00566774163648973,0.00513123389862016,0.00618938256549202,0.000103288736768691,-0.000590261756423773,0.00206672906112989,0.00203581926233097,0.00217604459422549,0.00109425181638209,0.000361008669630379,-0.00232857111602605,0.00417500134385004,-0.000949208069027257,0.000246556240127635,0.00175332953968214,0.00255275736498158,0.000426965779698862,0.000844531344747272,0.000603340339599471,-0.000390169268943373,0.000656394158073367
"Macropus_robustus",-0.00120723185295448,-0.000124430094682085,-0.000208200961676754,-0.00330196417054004,-0.030305888957515,0.00524618313946861,-0.0152069918033751,-0.00528491944788276,-0.00918959638349758,0.00222866434102507,0.00974596349515038,-0.0180961659900192,-0.0177896988776609,-0.00985321300572643,0.0107692461464469,-0.00468468578392257,0.0140580705518199,-0.00221595403842708,0.00321317392793104,-0.00128139205472583,0.0104719940649197,-0.00155634710590469,-0.00302060232223653,-0.00101535228042157,-0.00134390712738888,-0.000332685007150427,-0.00215447852204271,0.002986489666187,-0.00220308880677797,-0.00117568384073045,0.00133604552742427,-9.5084358034287e-05,-6.12617926739126e-05,-0.00067285940541249,-0.00102184883244453,0.000396923548440848,0.000112512286428074,-0.000186506943011638
"Macropus_rufogriseus",-0.0444441132614886,-0.0267729628025964,0.0250694106629604,-0.00615926925299711,-0.0216161878186652,-0.000341726596257206,-0.0142510079370461,0.00449337029106283,0.0066669220017459,0.000377757219316301,0.00201725871569701,0.00527532698679111,-0.00266072809073185,-0.011293860651794,0.000819578865591509,0.00212713105845547,0.00370945775753075,-0.00321873095504566,-0.000818425631171776,-0.003605262888647,-0.00931726383568143,0.00352022006637389,-0.00465569994743552,0.00217179934820353,-0.00217529481242353,0.000635138882932521,-1.86669523345468e-05,-0.00411234706931868,-0.0036958138220099,0.00331751905345593,0.000993542321191442,0.000704654566951978,-0.000151955666712909,-0.00117598190041548,-0.00055320263154335,-0.00143121132530612,7.76735924696752e-05,0.000421295716382607
