"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47"
"Ganguroo_robustiter",-0.0560862280467059,-0.0310045561818157,0.0152687709745323,-3.73165072230306e-05,0.00229837500562674,0.0104188201756339,-0.0168439914463126,0.0189471948442046,0.0122897857196916,-0.000452708815307527,0.000611968360470284,0.0112418057584293,0.00938779356507003,-0.0033063822688751,0.00461623852249066,-0.0112267074070188,-0.00595724044914667,-0.00677337313675055,0.00476211847069144,-0.00168474405981856,0.00318153469211236,0.00444501677739567,-0.00437589037556723,-0.000150384937214945,-0.00615492750815303,0.00166309060786747,-0.00162986202881445,0.000160409351303944,0.00256954204368652,0.00225351023517386,-0.00154793402284261,-0.00333377659932111,0.0036442655708312,-0.0032897412702465,0.000820038846398475,-0.000566262382514543,0.000884134100689117,0.000374180663678865,-0.00136554573998354,0.00122394373619588,-0.000527053619732964,0.00046780407803009,0.00111543730880119,0.000376999253489095,-0.000218087777702464,1.34069496310016e-05,0.000542008363046572
"Hypsiprymnodon_moschatus",-0.132770064889097,0.054426032314582,0.00833450455917747,-0.0316414946307617,-0.00942694141401607,-0.000511742607459067,-0.00313823617030553,-0.00180688134577768,0.00380822912048619,-0.00697800300106214,0.0242331429200049,0.0229136825226634,-0.00768925273089265,-0.00414159961200491,-0.00638159665596994,0.0131349670427984,-0.00396456719362837,0.00286100237982944,0.00168705513050885,0.000985441337794569,-0.00253473268046952,-0.00063899399013016,0.00210258987159786,-0.00162181298943543,0.000937410500547101,0.00347964486828094,0.0027237675232122,0.00210336687500694,-0.000701936798415465,0.00198229436258921,0.000441692941535265,-0.00207707081361184,-0.00133860185318029,0.000103332585449303,0.000953743716148911,0.00219688832731738,0.000371737834211899,0.000248248520783354,-0.000349133949851331,-0.000340981106978505,0.00109361843756238,-0.00118791476663132,-3.45673063147055e-05,4.7601123548457e-05,-0.000401191700817051,0.000290839988851729,0.000200711866666916
"Lagorchestes_c_conspicillatus",0.032401356534325,-0.0121754044426708,-0.00719318968747726,0.0343899796930446,0.00765766509782625,0.00752991857029198,0.00730004359897441,-0.0127581752690472,-0.018400317454697,-0.00626383168477221,0.00203921925628228,-0.00974521483920053,0.0145893076092445,-0.0148013297754743,0.0131317754236516,0.0098890206066525,-0.0035665286686746,0.00031460014199796,-0.00551293807413594,-0.00117414407992436,-0.000756066820034907,0.00820506299557059,-0.00268522931274598,0.00408625505490741,-0.000890966102423678,0.00649684453598933,0.000335345856268172,0.00121316555550829,-0.00274978240459667,-0.000888411549025183,0.00117511084721568,-0.00261556777983415,-0.000886172273548187,-0.00184562715177451,0.00198639311405405,0.000705648529112069,0.000460481727883405,-0.00117222760865882,0.0001701537097825,-0.00106721524102262,6.39886529254852e-05,-0.000375379577393392,0.000280491944729183,-0.00033782235872282,-0.00102989959777651,-3.36197706046174e-05,-0.000392445998227285
"Lagorchestes_h_hirsutus",0.0181060355540372,0.0393007380336089,-0.00991431718906763,0.0326718259589901,0.0083797648861767,0.0314808809921841,0.000947034779203986,-0.0133338662829152,-0.00915268347261687,-0.00969276979099291,-0.00679507621560852,0.00699990761820268,0.00281860911952995,0.00308801173642332,-0.00408388101518198,0.00838238653894521,0.00143821670457837,-0.0111128515062948,0.00343607437912096,-0.00730963582428864,0.0114808016510028,-0.00163580667174147,0.00331204216749806,-0.000198357615763909,0.00388049989216207,-0.00182327647097203,-0.0048091561044768,0.00104998359992491,0.00643624082504632,0.0015939863439321,0.00324514512612236,0.000370132115612305,-0.000789796877642562,-0.00024920189531667,0.00078397969989449,0.000149498348714136,-0.000418055550131108,0.000873906182050833,-0.000553138659113014,0.000410720508251547,-0.000538890634593881,-0.000832262485738484,2.75066799529217e-05,-0.000702339968927139,0.00061318861964254,-0.000611087503951648,0.000306700811697579
"Lagostrophus_fasciatus",0.0255303909619586,0.0187918226554966,0.00532039317379091,0.0380797332803076,-0.0034717923986213,0.013101673066925,-0.00609200511203102,0.00311068829355492,-0.00943826017733401,-0.0151084201057931,0.00721341862616535,0.0121958144569784,0.00200339190422203,0.00726544503917442,0.0060991055225617,-0.00513690959369853,0.0181704099516392,0.0110394733695969,-0.00697033029608187,-0.000670465076725237,0.000882405068485899,-0.00121961556745216,-0.0033391027605021,-0.00437612484082894,0.00141044382088654,-0.00276373116758332,0.00409088924824031,-0.0029871651035309,0.000549707870876035,0.00463359661438539,-0.00160484855904004,-0.000541592722216633,-0.00241904355513659,-0.00111695901027699,-0.00198912788143886,-0.0010197546264433,-0.000169485390359576,-0.000707710501135927,-0.000489972683423119,0.000443813069150751,-0.000443065921327082,-0.000177513656335198,0.000153336222166261,0.00115865259457063,-0.000418855258004965,0.000104485921990928,-0.000130716111533252
"Macropus_agilis",0.0271643630779563,0.0227617379943445,0.0101768813022811,-0.0126199536415361,0.008277820409554,0.00754015439155496,-0.0306465434429399,-0.00685998899180971,0.0132853430158621,0.00458912725083299,-0.00307081453481999,-0.0160732803687579,-0.00705398880493082,-0.00163089322280436,0.00680219292141002,-0.00132934293576171,0.000904580795620093,0.00104268968797344,0.000720467275935391,0.00512198082730268,-0.00796592698053556,0.000259602647632728,-0.000156979997019365,-0.000963619553392776,-0.000132279168245288,0.00313639461501608,0.00256030810740005,0.00179061022599626,0.00306056267503749,-0.00124344432988324,0.00106985156361527,0.00314296876930752,0.000711874433818987,-0.000964971204185437,-0.000197305386644863,0.00153998905315414,-0.00264816589956977,-1.44071726294095e-05,-0.000613056358898293,-0.000943884759182539,-0.00167424633995757,-0.00171252676731062,0.000128453704615133,0.000810982868080317,-0.000582797389244701,-0.00108321247469385,0.00040610275166768
"Macropus_dorsalis",0.0216898377260803,0.0102947757847251,0.00897960974390455,0.00188191695117027,-0.000245459363086624,0.0246933231876813,-0.014366790793865,-0.00224917292583065,-0.00540037305929664,0.0159376787921098,-0.00108157555667629,0.00852220707544064,-0.00236190478813654,-0.00867552056462992,-0.00643219744149288,-0.0119505435670619,-0.00558259496112106,0.000449128318225022,0.00599967826665791,0.00204470624078193,-0.0031697428087505,0.000256264555994068,-0.00256805521496624,0.00290119451844976,0.00409752770698707,-0.0024083740054295,-0.00306600524865616,-0.0035089097465031,-0.00689935409234843,0.00262172397762933,0.000501287448101863,0.00287208725193754,-0.00387407085580146,-0.00340098701424754,-0.000429194276860897,0.000773687312070791,-0.000249375599470236,9.09318609187602e-06,0.00146716385561675,-0.000791678715762824,-0.000467930151271614,-0.000316569451305579,0.000616527239996725,-0.000731663525026037,0.00040880232635281,0.00059656764523095,0.00022105574392626
"Macropus_eugenii",0.0230220784634858,0.0173970013192281,0.0328309517322617,0.00572647583531945,-0.0139206034493221,0.00746624932104403,0.0206126441184977,0.00743543280744604,-0.0147602865972205,-0.00222248962307255,-0.00478314693304314,0.00589551655039014,-0.00903442588452385,-0.00461472359447291,0.00427026224292164,-0.00620792146983757,-0.00194161975672292,5.22884908974158e-05,0.00504130451282067,-0.00820398353530678,-0.000554678697281534,-0.00123575816581992,-0.00142542096834709,0.00163470298361054,-0.0043777768595254,0.00445914627783247,0.00159625504391125,-0.00165854430896781,-0.00103475428543584,-0.000341694433071729,-0.000423118215730135,-0.00189831873821645,0.000170351806997112,0.00169705429281096,-0.000267345570220005,3.7033094023821e-05,-0.00176432107894748,0.000135889772795738,0.00240233474804539,-0.000300397353854956,0.000538439849991829,0.00154267756644199,-0.00162616759016016,0.000333935480096828,-0.000114821414585681,-0.000780466162579448,0.000952910734675004
"Macropus_giganteus",0.0791231812435961,0.0240060177455341,0.045206516460293,-0.040781810646818,0.0270433338847389,-0.00051527012630707,-0.0183774571075955,-0.00783826419861987,-0.00215338959548174,0.00217133125132614,-0.00324052363839406,-0.0051444227931519,-0.00064827105715975,0.00825952095568652,-0.0141857000362262,0.00432298610840581,0.0103515918389308,-0.00469278426773834,-0.00554972837589675,0.00412663730658573,0.00657402737583469,0.00339323584178881,0.00415954250307913,0.00645218680021008,0.000680285931141977,0.00200362801046224,-0.00136580127891251,-0.00229816382895819,-0.00302098240781021,-9.7653308749134e-05,-0.00376121088128553,-0.00403016939527907,-0.000354370233634845,0.000469731955267482,0.00158772722357298,0.000158711738299583,0.000753563886232427,0.00114077545524539,0.000297902486933997,-0.000210018873589818,-0.000503554910869776,0.000847144260375751,0.000340906074434338,0.000503965290565729,-6.14168068346998e-05,-0.000262297958642771,-7.58534423672938e-05
"Macropus_irma",0.0210499609942895,0.0238955513415591,0.0395063260534624,-0.00894278116827588,0.0271896925272248,0.00801406822756186,-0.00053946704837191,-0.00292901271629818,0.00273566030382453,-0.011495112470094,7.38677637075236e-05,0.00159699086889053,0.00768485348882875,-0.00770518410691969,0.00231642185640528,-0.0050739580835478,0.0051937752875712,0.0004993102082267,0.016143079836639,0.00239154049586509,-0.00365974595177682,-0.00466012007056691,0.00200557491895348,0.00153640277530989,-0.0019289381982901,-0.00512212645377036,0.00189361622684414,-0.00159097324435598,0.00113639325993232,-0.0040008209195222,-0.000113716246258996,-0.00103868020816425,9.75227187800154e-05,0.00146966511884466,0.00175868907425431,-0.00181735966532443,-0.00231494777018902,-0.00179983304126477,-0.00123441666608099,0.000394113112134529,0.00121649029361987,-0.000157286705620056,0.000174084974735973,-0.00071932055860708,-0.000300145172906444,0.000603018512295245,-0.000491720087635141
