"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"Gumardee_springae",-0.00692375036405473,0.0120929730188941,-0.0221716570554984,0.0311845245747257,0.0210369826304079,-0.00848564162740429,0.0262362934427412,-0.00810280042726065,-0.0067661549401229,0.00521235330060623,0.00739633799447311,0.0233207057094198,0.0045577090941615,-0.00643539840212564,-0.000637629428091112,0.00364539346339379,0.00211702346734896,-0.00310450723867955,0.0027615918120415,0.00274012450385758,0.0152845766158365,-0.00381135436559792,-0.00613732842388706,0.00475916457189709,-0.00249525947199876,-8.51166216330932e-06,-0.00896005551578999,-0.00116607810952435,5.8492327942791e-05,-0.000747656041699443,-0.00116773743492176,-0.000998693600768058,0.00114100460566237,0.00082480403898712,-0.000441354573988197,-0.000618168234057223,0.000506078262603578,0.000267558943817039,-0.000586756995301346,0.000195624129085812,-0.00021487049634547,-0.000334459794800385
"Hypsiprymnodon_moschatus",-0.0508350822552961,-0.0490174035153553,0.0514962932098337,0.0460695845324297,0.00172909373022311,0.00357888012130188,-0.0476799862361672,0.0160668993316296,-0.0140790734061861,-0.0373544579129292,0.00240385615004327,-0.00256778634210041,0.00273097116662862,-0.0113561827589478,0.00862485134263541,-0.000149614334600792,-0.00201366506081283,-0.00884456197845598,0.00264559792591077,-0.00599102970676505,0.00211978813020924,0.000718205730767891,-0.00324128254271637,0.0033936213890393,0.00244265261033249,-6.58563109379581e-05,-0.000904833821397529,0.00125336318599657,-0.000445417768483021,-0.00211259566239232,-0.000770974063364062,0.00052193549758416,0.000458946705837029,0.000305085589262326,-0.00043244984609796,0.00147817814112555,0.000150101675770399,-0.000788925280438614,-0.00113161244733213,-0.000131475204222089,0.000433157665392616,0.000205114701459823
"Lagorchestes_c_conspicillatus",-0.0221397520987898,0.0866221855802119,-0.0185742394848701,-0.0028179554946612,-0.00356696109196234,-0.000145399410437404,0.0212936154232554,0.0212957668389122,0.00735972592245885,-0.01375042936889,-0.0302363839648927,0.00404871281319468,0.0109532834091884,0.00391800825305454,-0.00524832372671486,0.00292105729706449,-0.00365076254238493,0.00858817471040135,-0.00119568607546731,-0.00755023112062672,0.00178298751459564,-0.00233450778681175,-0.00393220363124336,0.00276961951987543,-0.00437350107917269,-0.00327148834637421,0.00278073116925474,0.00526119028743223,-0.000584033745754043,-0.00216321919558387,0.00115978908027609,0.000848578040702829,0.000842299750249837,-0.00138794421681228,-0.00213348044009566,0.00114004018337644,0.000258830621453547,-0.00105677238888009,0.000410408017969508,-0.000224911390365932,-7.40933267973281e-05,0.000204966830032779
"Lagorchestes_h_hirsutus",-0.0133746995665562,0.0411351559357913,0.019196997901586,0.0165837301550827,-0.00367873950270956,0.00641516453277607,0.00330905128126013,0.0422758738370016,0.0175119951069931,0.023034552190238,-0.00282208423685978,-0.0181823236964368,-0.0105014462384236,-0.00612071001539664,0.00618347176597443,-0.00266691951571424,-0.0110829883523436,-0.00641171062756123,0.000356750828957775,-0.00278076425127458,0.00291215195543506,-0.0030035647580295,0.00283937284141134,-0.000836755224731214,0.00220024329049902,-0.00552335354569307,-0.00669411103035091,-0.00157747249862755,-0.00175576708155229,-0.00113718603112868,0.00234963577921815,-0.00153478464302394,-0.00162526843020602,0.000589806319630062,0.00142352704298007,-0.000740553054965666,-0.00180620399363252,0.000251972000055356,0.000714707272356997,-0.000225583959509032,0.000156920166124797,0.000275027672721662
"Lagostrophus_fasciatus",-0.0283551595854781,0.0623140926468913,0.0233127640386799,-0.00894607514332395,-0.0225923082421969,-0.0242151382190837,-0.00444603814205237,0.00297756052261926,-0.0372997855356783,0.0195696740328537,0.0236863779209093,-0.0145868526475782,0.0169995980872307,0.00887719878066096,-0.00580405229447175,0.00142658680674642,-0.00207710664751376,-0.00386809213349747,-0.00629117342000407,-0.000283464905628842,0.00398684211196683,0.00296836946445349,-0.00331961371469457,0.000783520689924787,-0.00278728949127855,0.00160418329768394,0.00234625564080942,0.00218749498716602,-0.000496331637247941,0.00389768918844884,0.000979075907496841,0.00124910181916067,-0.000989484926393338,0.000126009611126726,-0.000791597589108198,-0.00116670135271558,-0.000658774769850656,0.000556330746777291,-0.00093978081458601,-0.000559788145034169,0.000331113976859402,1.62456715478858e-05
"Macropus_agilis",0.0414479547896915,-0.0119021471805066,0.0103191396539038,-0.017238098727024,0.0291570425593578,0.00526950105629371,-0.00140547231927333,-0.00234149766383397,0.0051028119873346,-0.0021821963713041,-0.000575258956100242,-0.00649696817805856,0.00729643431936599,-0.00189288531420656,-0.00612019890676456,0.00583613828550876,0.00800808079380043,-0.006483040675572,0.00549416169324233,0.00385776561563029,0.000444790588677832,-0.00616809194711317,-0.00547215377080347,-0.00483837174732209,0.00265990385998749,-0.000526140707438333,0.00837885984431803,-0.00479587993472976,-0.00386691127004474,-0.000295950302190123,0.00377080121518594,-0.000227423060116148,-0.000831821208194835,0.00115833827319332,-0.000928781155691951,-0.000170955083177179,-0.00138677942343522,-0.00125296308833338,-0.000556204612256559,-0.000575644764507738,-0.000232105737231769,-6.65338280894938e-05
"Macropus_dorsalis",0.0575545416775177,-0.0170306538751063,0.0291875004633674,0.0288742758639528,0.00206173575549,-0.0208051234290706,-0.00783790250125964,0.00382429288591295,0.0193379175984114,0.0122320841400742,-0.0114968944795587,0.0103769694474996,-0.00243099638428228,-0.00271918689250513,-0.00209129080779793,-0.00726785444634266,0.00622442411533494,-0.00309170683766271,-0.00145629361111605,0.00462175073023369,0.00533182114079431,0.00285467264532345,5.8640799632849e-05,-0.00665017736945124,0.00262541932970986,0.00342536791856892,0.00124943755245853,0.00411325587057405,0.000615942410331273,0.00248394330040359,-0.00112086225767331,0.00212744795621968,0.000197447645939519,0.0036187243613333,-0.00198545438101066,0.000459511768737715,0.000141117226909596,0.000941746141825246,0.00091444013533749,-0.00065428911564694,-0.000449152705374711,0.000695409556143872
"Macropus_eugenii",0.0417826824842959,-0.00886655660033238,0.0205543422964114,-0.0260568382666653,-0.0150020281262884,0.0171389798308822,-0.0202323206248309,-0.000551287081969388,-0.0161116195177097,-0.00835536563643167,-0.00710799309385686,-0.00228589096331546,0.00746322911258376,0.00221045427662678,0.00403750091004956,-0.00384955136120871,0.00675830743777627,-0.000118904276551412,-0.00518449586538701,-0.00685268330064473,0.00381376909749644,-0.00343680564850827,0.00417053575728458,-0.000682018775704986,-0.00461575736389508,0.000240521310325144,-0.00133457722576616,4.04711186803561e-05,0.00516448588276749,-0.000996737678446324,-0.00409130187980692,0.00129584679780508,-0.00195938772743626,-0.000112292314223744,0.000712162281018586,-0.00223362301680993,-0.00154100856397268,-0.0011777535732146,0.00104079034931241,-0.000461820551969179,-0.000634062969945459,-0.000188316467046167
"Macropus_giganteus",0.101624852379066,-0.0427216623235705,0.0636728627302903,-0.000106881556828705,0.0218166834193637,-0.0112545271139296,0.027868680124177,0.00103688186090204,0.00604141760348073,-0.00273465547201468,0.00166433270831823,0.000683629003626731,-0.00177740644619599,0.0122127632537309,-0.00590974373858103,0.0017413943195354,-0.00962688823435894,0.00111850695320992,0.00650838282792217,-0.00627484011619427,0.00226501373154135,0.00359835670784495,-0.0057136499493248,-0.00100701841236407,-0.00133226455721943,-0.000861214120025935,0.00142928830337246,-0.00320790746163807,0.00242469321865363,-0.000283616716292002,0.0021908908066667,-0.00117824912538924,0.000415794905216432,-0.00280821260056625,-8.42243876697903e-05,-0.00169615059530427,0.00124627826548001,0.000264056230603352,-0.0002458879814336,0.000367214542619864,0.000278152639017205,0.000517062265021245
"Macropus_irma",0.00608805127094159,-0.0012834537362891,0.0251104529204857,-0.0181973207095906,-0.0141391890032757,-0.0289992459179883,0.00419619655791973,0.0197186999916842,0.0206029467349171,-0.00936244957101068,0.01027646867382,0.00460247934152223,0.00028986421919133,-0.010000032290621,-0.00301837686855774,-0.00997826748708629,0.0115610907923553,0.00488743028211621,-0.0100468822925999,0.0019167721547322,-0.00438756769289072,-0.0061586184372094,-0.00078015886364566,-0.00556240256818644,0.00130414678026467,-0.00860634840907144,-0.00112315168915637,0.000762463617403954,0.000237080981966075,0.00163958584298387,-0.00168214599358702,0.00204583567637934,-3.05944336700657e-05,-0.00036759415587658,-0.000131413884494103,-0.00148477667946783,0.00188950293483987,6.55689217100288e-06,-0.000895162001846065,0.000552204461793555,0.000678479773172857,-0.000367514797003619
