"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39"
"Lagostrophus_fasciatus",0.0157180981078553,0.0197700697408257,0.0318717657369798,0.0284973166605286,0.0112398017255556,-0.00177320764580062,-0.000661654791675543,-0.00960044855982758,-0.0113598247543113,-0.000416015068658437,0.0226703456687345,-0.00284514957141623,9.20415660468271e-05,-0.0130628613362657,-0.00832313287928404,0.00108540278701372,-0.00938046627965279,-0.00907367687547821,0.00480746450121573,-0.00404736922754319,0.00579655330840905,-0.00771572644750981,0.000592483415311485,-0.000916476431796213,0.00243689262699337,-0.00170743509377417,0.00390336749458236,0.00189701325089087,-0.000343982099243903,0.000471366635160475,0.000294662576838506,-0.000623147984641869,0.000444833271046348,0.000109183607783942,0.000327695923882589,-0.000140039866149618,4.48005018066699e-05,-0.000589665430964679,-4.02199056974984e-05
"Macropus_agilis",0.0372229681042614,0.00754608750976158,-0.0214715232297739,0.00779688979082845,0.00122245981458075,-0.0104996448132978,0.00449488851482137,0.0255379258791664,0.0124881812246353,-0.00978679899273532,-0.00296097505084884,-0.00820859232150541,-0.00110702224620905,-0.00302343644842315,-0.00489476166214127,-0.00449475959090087,0.00566523404463722,0.00168763959876704,0.00428642871625997,7.28847995676846e-05,0.00339567860128833,0.00214144237292521,-0.00320262780790588,0.000419955699003231,0.0013661541214524,0.00188021156779658,-0.00252736438476052,0.00375690922149221,-0.00267962770025781,-0.000701043058760296,-0.00225072963104258,-0.000912925836452509,-0.00176764902996315,-0.000539799824852603,0.000325871374399099,0.000589918967657079,0.000526893104131482,-0.00048682471322661,-0.000472037860872699
"Macropus_dorsalis",0.0136751897339455,0.0160598792536419,-0.00703312475087465,0.0102153266413414,0.0059519052113473,0.00609448160807109,-0.0125909368243409,0.0265924926903366,-0.00792431092517238,0.00829773380161049,0.000772712060971645,-0.00703510780752375,0.00946177255695019,-0.00587510317567342,0.0149990245211794,0.00500370770850137,0.00238126642958326,-0.00186325335514358,0.00275597642609856,0.00634650747114168,-0.00639276378400893,-0.00186697715540288,0.00293534127796063,-0.00528076147850874,0.000245610042293257,-0.00522846253257702,0.00160382420495162,6.84545600481205e-05,-0.00230689205019832,0.000453079994569412,-0.00125330039405793,0.00189194832411984,-5.0341062221513e-05,0.000729785769995541,0.000627162159128781,-0.000356041532398442,0.000307651203338513,0.000378828045997925,7.99742939386024e-05
"Macropus_eugenii",0.0136453816560441,0.0417817003582113,0.00348223532903218,0.00212220149158031,0.00565743434980371,0.0119382231570008,-0.00514579089460266,-0.0163626168327538,-0.0134167238472058,0.00913987995817566,-0.00808841262845559,-0.00930692940931582,0.00155545516251305,-0.00263010075225666,-0.00374132092488285,-0.00233242170566044,0.00392782134130803,-0.00530161168381309,-0.00463808389508886,0.00549861927379285,-0.00383889867391617,0.00470685737876713,-0.00391491035387202,-0.000521740420057834,-0.000313407396091388,0.000846124084513165,0.00163211066439838,-0.000963257923740006,0.000786831138873354,-0.00179344007828117,0.00012667166913722,-0.000581674565430831,0.001731423088516,-0.000540459399811413,-0.000428499565422686,-1.7263291126039e-06,0.000823529842901767,0.000123846199594961,-0.000703887802229333
"Macropus_giganteus",0.0893004102903468,0.0218423123619267,-0.0540698341479144,0.000592874026361853,-0.016561291413505,-0.017209130285797,-0.00155021620322302,0.00349876017043989,-0.00356853661723962,-0.00193585946471083,-0.0112228214064722,0.0105652075959399,0.000872680650984783,0.00324749156130405,-0.00462522840562611,-0.00383835979837153,-0.00188860666066508,0.00785792166913273,0.00152418565014187,-0.00549722771498995,-5.96440446002881e-05,-0.00904901005126446,-0.000917844587411847,-0.00232452243212623,-0.00192939369512297,-0.00293002340526608,-0.000534914873084007,3.68185126687548e-05,0.0031491497414462,0.00136954629891104,3.31248127660916e-05,0.00120063832724381,0.000945377044232978,-0.000864236261945181,0.000451242738697679,-0.000762054316685214,-6.39437473276005e-06,-0.00037656305510033,-9.30124338994116e-05
"Macropus_irma",0.0285238190535722,0.0343174957317527,-0.0230702979159677,0.0101647338612975,-0.0242437241829082,-0.0121441227385604,-0.000136626434052616,-0.00495320904338098,-0.00393463022326107,-0.00881550300462012,0.00326737479073017,-0.00237963204427864,-0.00589665572425709,-0.013549664698788,0.00538658465243333,0.00600524857438925,0.00871873224036146,-0.000741713327370836,-0.00387827759209915,0.00898592135726394,0.00519135070076965,-0.00191337325622843,-0.000377796977511553,0.00496211287475294,0.000149491075829304,-0.00049746833136127,-0.00162171820551092,-0.00156403557028441,0.00202436773218975,-0.00125828618329973,-0.000106296064075099,0.000391085779740837,0.000537873492268548,0.000714256604321611,-0.000559178217453936,0.000807216975639182,-0.000669960085096029,9.34079089701194e-05,-8.64171761724012e-05
"Macropus_parma",0.00891352578858714,0.0179327042150554,-0.00774363177118031,0.00585970800496648,0.0101674180735445,-0.00375048032637613,-0.000233400525444246,-0.0109096419637695,-0.00475361179939757,0.00463516925706471,-0.000467730244461501,-0.00696949201583474,0.0025929334756084,-0.00161532712508287,-0.0104935072532338,0.000842589085315915,0.0103899700241107,0.000240962792472838,-0.00793928047650688,0.00415546537917608,-0.00744391475157519,-0.000223215328877815,-0.00183509017390498,-0.00352679228061116,-0.000112363795648854,0.00116537355233833,-0.0007126724021241,0.000532613718390411,-0.000902767566155778,-0.00120549101824061,0.000967023657354378,-0.000503686368070537,-0.00151505981245636,0.00100062700904273,0.00012099229081047,-0.000859393511410612,-0.000678205641226248,-0.000747931877905704,0.000623746463513298
"Macropus_parryi",0.021066981008671,0.0310411066287375,-0.024389984206852,0.00783408201646879,0.0276179764256432,0.0325050461782843,0.0260994889380012,0.00257061271102281,-0.00309591008959932,-0.0200143628633508,-0.00614744388026282,-0.00121444891320693,-0.00408748862870599,0.01309751105657,0.00121449770842453,0.00275777578192871,0.00208354718504488,-0.00490164754962584,0.00510220227684832,-0.00281070648401282,0.0032271031267297,0.00295285797950362,0.00246517057798032,0.000782153894602518,0.00595302166855685,-0.00242276005198637,0.00137905964805075,-0.000844951535487615,-0.0002178589449004,0.00025194458037448,-0.00064240580280096,5.9739699627633e-06,8.4691097662351e-05,0.000208858912721471,-0.000567195164146314,-0.000115930160805653,-0.000814106305339737,0.000182273201351945,-1.49268185434148e-05
"Macropus_robustus",0.0621000199711619,-0.00962041465029057,0.0130970588367832,-0.00200786138538198,-0.0154845215988589,-0.0179304844717308,-0.00307496502113495,-0.00424275795391129,0.0124260629112952,-0.00169384597602175,0.00156311132509177,0.00930358094799537,-0.0055889921881064,0.0105846911322785,0.000815767547157159,-0.00542788369289377,0.00967102076104394,-0.00488519123031601,0.00725468632239892,0.0029964887303892,0.000131208661612905,-0.00370339415726427,0.0060406614790428,0.00233082661370307,0.00187199975354466,0.00277890498495365,0.004525997700502,-0.00160505895801162,0.000696745605819939,-0.00290261672486078,0.000783730445071971,-0.000245670048425669,-0.000699928766787116,0.000565239301511469,0.000593027012597665,-0.000241935199464133,0.00079837104779996,0.000264380159848555,0.000249538458351958
"Macropus_rufogriseus",0.0416796196910884,0.0192696445554041,-0.0148294735521659,0.0065891210595972,-0.00498528146554231,0.00924793278627498,-0.00460012601935498,-0.00442155770377672,-0.00344660580680605,0.00277079482213738,-0.00371566974134315,0.00101987241244521,0.00414229420939125,0.00438075207387926,-0.000260935387140969,0.000502305828482463,0.00512894488707488,-0.00701498589914942,0.00288767569329967,-0.00162021557765009,-0.00400160866499306,0.0063159726081977,-1.24524907344344e-05,0.00220240022220556,-0.00354607400425325,0.00225425913697893,0.000902796504408671,0.00133111029494792,-0.000804203758698043,0.00539798062159171,0.00257913760235605,-0.00145681174394663,-6.05529422686653e-05,-0.000586362220965467,0.000794926933467108,-0.000479027836174504,-3.37620868749074e-05,0.000218762201563282,-4.81785600678065e-06
