"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"Ganguroo_robustiter",-0.0566479281084136,-0.0275430765128447,-0.0119140968737847,0.00593944148735456,0.0114011178370188,0.00383137779600356,0.0301669664777197,0.00266946980188302,-0.00881664297329152,0.00204140728992269,-0.00181667015890869,-0.0130652543758003,0.00922092500219223,-0.00486849315735481,0.00266793080753741,0.00771893860013142,0.00966313912079854,-0.00686012121795449,0.000407800737577438,-0.0101800266613108,-0.00270136937298517,0.0029246218354184,0.00477524541819283,-6.40190143688624e-06,0.00123709670566835,0.000464724655605273,-0.00234848162504834,0.0011073705376406,-0.0014154118409227,0.00289526738486783,0.000562524544535432,0.00104827332199503,0.000739210863891018,-0.000393768595184278,-5.22427607144331e-05,0.000726315910792255,-0.00126593218175433,-0.00116705512295671,0.000772373888313131,-3.94597570313312e-05,-0.000261913818554273
"Hypsiprymnodon_moschatus",-0.0952405197061495,0.0681699845316101,-0.013871644688921,0.0445661034817058,-0.0250853320764736,-0.00856278738607792,0.0127536904675759,0.0114044915443379,-0.00291801927273065,0.00718683243602813,-0.0186584528449096,-0.0046392382286539,-0.00718846370312602,-0.00268650491631286,0.00198927197479037,-0.0164485199796962,-0.00247008431611246,-0.00110251085982462,-0.00373341420158262,0.00208103452458855,0.000128565143714191,-0.00464407826759844,-0.0002407602987322,0.00403307073381621,-0.00177580485668995,-0.000899671199750055,-0.00333965883054365,0.000896981510784595,0.000844918921462543,-0.000339679925236744,-0.00138787889858304,-0.000813227221333089,0.00126315959465531,-0.000322168074694261,-0.000106236671688441,0.0017035070465795,0.000669616341600713,0.000382307909805527,0.000169039811027969,-0.000350178426384593,-1.05754002147381e-05
"Lagorchestes_c_conspicillatus",0.0182620963706052,-0.0108357898983342,-0.00515253005126314,-0.0361289543450743,0.0236463158727548,0.00298047483277966,-0.0179773838321323,0.015348739562519,0.0206340719105406,0.00215990645785549,-0.00406389292104985,0.00904872029865066,-0.00103718946785694,0.0169081503049309,0.010748715338788,-0.0056913562021189,0.00593480258434471,0.00292309548555677,0.00139042931321177,-0.00688854825526664,-0.000180431548839767,0.00700226375593695,-0.00315054910211996,0.00199481953220207,-0.00416974562224829,0.00103777638147144,0.000114975893343869,-0.00360860846945792,0.00204568976545218,0.00104848838814034,-0.000612847641864656,0.000349493194342696,0.00215800651250272,0.000621131877245376,0.00118352895975078,0.00147597569899566,-0.000115485891505526,-0.000492834052209768,0.000974391050764699,-4.10269252914728e-05,0.000394809829305231
"Lagorchestes_h_hirsutus",0.0159899899060898,0.0494985805358286,-0.0103193445510727,-0.0205391701431775,0.0160302492263667,0.0264839175719798,-0.00968654674703555,0.010208546324652,0.0129516037536703,0.0108825250576242,0.00980759597374123,0.000206221757258386,0.00278839447816285,0.00409152230752945,-0.000674461523582715,-0.0020135831966361,1.56332470900864e-06,-0.0081257188335623,0.00577414797869158,-0.0032474402874791,0.00841260556204063,0.00112981169849242,0.00330694284829296,0.00375619155668687,0.000409750704492077,-0.00311289190205457,-0.00553320177073303,0.00103685228423605,-0.00528917392394551,-0.0030659568131599,-0.00217502127652529,0.000788234745896782,-0.0010603152257889,0.000745978289950678,-0.00060257913225161,-3.99516517185497e-05,-0.000689405419921157,-3.11597830801602e-05,-0.00129788628464884,-0.000284624632805405,-0.000175875908764961
"Lagostrophus_fasciatus",0.0275842022300474,0.0183826396724657,-0.0244933286080987,-0.0318923536080885,0.00743624551316723,0.0157646835627051,0.00436232471772538,0.000156781598257734,0.00940567089330408,0.0166410379018369,-0.0203977080013106,-0.00670232684062876,0.00565767301355974,0.0028367355908225,0.00146269368316617,0.0089869101861387,-0.0171382271147763,0.00547047490947653,0.0048801828982279,0.0019515625000787,0.00620110133230333,-0.000937548039118769,0.000799295230263204,-0.00318215021358075,0.00241607989823076,0.00401939813050383,-0.00213364043953595,0.00468650750960726,0.00503908372876845,0.00121372691783862,-0.00014070080839523,2.37670851273756e-05,9.45736920607253e-05,-0.000255337153076763,6.4542577829938e-05,-0.000505099356853001,-0.000402539466716918,0.0005106537063859,0.000355961746606979,0.000417449482971671,0.000152053433946145
"Macropus_agilis",0.0454772145764815,0.00338030861925076,-0.00234852028261274,0.020240376014288,0.00273778912940928,0.009264356930504,0.017484517982524,0.0180836616602957,-0.0116742688937274,-0.00725576494443912,0.0112421298191825,0.00299560199626671,-0.00769501003680983,0.00826747716409445,-0.00272163343145357,0.00597134205471667,0.00128766310839511,0.00266995854422224,-0.00274084776887407,0.00798293369509973,-0.00369551331153436,-0.0013124082011026,-0.000395211753412192,-0.00273094487100627,0.000486059061186259,0.00337866041664682,-0.00115267593563337,-0.00414983714779838,0.000930040488529795,-0.000758986568116908,-0.000505073284923313,0.00391557435825225,-0.000144158300721678,0.000215918346896713,-0.000681719463854211,0.00147196206350716,-0.000476409999008912,0.000749967476632071,0.000186372329508729,0.000788818402757109,-0.000587568974640333
"Macropus_dorsalis",0.0199598730588224,0.00465211971744565,-0.0139659478100835,0.00928761427503585,0.00614365053366714,0.0212949429289757,0.0121229811978701,0.00867746687134446,0.0121002039989037,-0.0175641290913476,-0.00023452355022792,-0.00753206510217848,-0.00414088977522277,-0.0162760924960909,0.0034256709246717,0.00470775462122969,0.00440489284172171,-0.00297253484414192,-0.00488792373065483,-0.00103881305533394,-0.00252989991278037,0.00446012343775563,-0.00415067294134899,-0.0031926655940347,-0.00591982315736103,-0.00243846749269961,0.00216147344179453,0.00469127209414328,0.0050947362378717,-0.00235645036649522,-0.00211813227207212,0.00237625609726634,-3.369951506811e-05,0.000583951498965492,0.00130473700653258,-0.000459688345132752,0.000916913051420118,-0.000216680593000472,-0.000999281581901939,-0.000299235276395535,-7.75167195093412e-05
"Macropus_eugenii",0.0233783905515185,0.0120500684200631,-0.0402322205747911,0.00540288342941467,-8.3904646773006e-05,0.0023696627974232,-0.0113103924756354,-0.018505723991094,0.0154314729676296,0.00377176749141208,-0.00193137313409368,-0.00857018405503144,-0.0091964731526343,-0.000564657944747566,-0.00328918290867146,0.00585054731009987,-2.80242770144302e-05,-0.00277455282592347,-0.00231625604685902,-0.00815195151733722,-0.0060191059866157,-9.43287526864796e-05,0.00102835686817191,0.00390165139499347,-0.00098159315091286,0.00317226445266268,0.00109328432693696,-0.00175844236013032,-0.000959295881030707,0.00147772627807011,0.000582732615985077,-0.000517513655466493,0.000567289002047722,-0.000582385847245772,-6.38602953027025e-05,-0.00155126556624746,0.00126525101123867,0.000603769203534312,0.00072364879647143,-0.000191067215109336,-0.000444767841720762
"Macropus_giganteus",0.0978721911796175,-0.0039997053503276,-0.00848577723161846,0.0559059227634561,0.00719690798163957,-0.0126469962964468,0.0055894647871849,0.00905539020730189,0.00252105406934124,-0.000989726981592923,0.0109338734056011,0.00855786561047544,0.00375634172596833,-0.00421470292313676,-0.00308146120225018,-0.00491417764813611,-0.00379485114685799,-0.00263375743622961,0.00461490485568617,0.00991663422776287,0.00626754080604595,0.00579481576615119,-0.00142799689645098,0.00467578722920843,-0.00197939512917679,-0.000205850033549335,0.00268207543716067,0.00228904539561511,-0.00111065283704917,0.000426023736009935,-0.000255507351676549,-0.00267175132799628,0.000451883257991223,0.00105642072989379,0.000594140528593049,8.78926788745966e-05,0.000352417970284667,-0.000245039596044812,0.000995419968444092,0.000517020382039617,0.000115289375880335
"Macropus_irma",0.0383066325960644,0.01116358233686,-0.0251389880920052,0.0297932441921718,0.0229285973230366,-0.010281433843476,0.00172730596256934,0.0107272521917249,0.00118837352297452,0.0140088892716141,0.000475333735892518,-0.000774919699090938,0.00305762860646319,-0.00156955095788409,0.0103583836529105,0.00932791757217022,-0.00302383277362413,-0.0115075461996528,-0.0042347056296819,0.00215075164637882,-0.00849966156034081,-0.00228049809711764,-0.00178696777272038,-0.00142744292155851,0.00694150171278187,0.000258272650583605,0.00321222180094729,-0.00092010035996524,-0.00117683301176633,-0.00142078533550996,0.000865241414590586,-0.00104087231107339,0.00118267144203798,0.000758465386634523,-0.00123004945007829,-0.000750014621847179,-5.92498327268533e-05,-0.000423429958200883,7.07560995212171e-05,-0.000570214658399876,0.000151582531582369
